channel_name,published_date,view_count,video_length,video_url,title,label
News 19 WLTX,2023-12-09T04:27:57Z,133,PT31S,https://www.youtube.com/watch?v=jSRGKlo2EKg,Republicans pressure Hunter Biden to testify next week,
News 19 WLTX,2023-12-09T04:19:31Z,119,PT2M15S,https://www.youtube.com/watch?v=5Wya5SwGJBM,Thank you for helping us stuff a bus for local families in need,
News 19 WLTX,2023-12-08T00:09:21Z,110,PT1M39S,https://www.youtube.com/watch?v=640ML92VPyc,"No, drinking alcohol doesnâ€™t help you stay warm in cold weather",
News 19 WLTX,2023-12-08T23:49:09Z,103,PT1M33S,https://www.youtube.com/watch?v=4CzmJyxv_E8,Christmas parade at Prisma Children's Hospital,
News 19 WLTX,2023-12-09T04:13:50Z,96,PT2M25S,https://www.youtube.com/watch?v=KAUnSkW0JUY,Why a new Dominion project might mean you'll have less parking possibilities at Lake Murray,
News 19 WLTX,2023-12-08T22:44:36Z,96,PT2M50S,https://www.youtube.com/watch?v=RCKSg9Rhmnk,Jewish community celebrates the start of Hanukkah,
News 19 WLTX,2023-12-08T22:56:48Z,85,PT2M25S,https://www.youtube.com/watch?v=ONrwsFnJHkc,Sumter residents road trip for charity,
News 19 WLTX,2023-12-07T22:20:27Z,83,PT2M10S,https://www.youtube.com/watch?v=v-0-JJFaxFg,Gaston fire tower still serves purpose after 75 years,
News 19 WLTX,2023-12-08T00:04:28Z,78,PT2M22S,https://www.youtube.com/watch?v=_pXEQDJZvs0,Spreading holiday cheer to service members: Volunteers gather for 31st Shower Shaw with Goodies,
News 19 WLTX,2023-12-07T22:36:03Z,71,PT2M10S,https://www.youtube.com/watch?v=SLRIxavU2Uw,Food banks struggling to keep up with demand,
News 19 WLTX,2023-12-07T23:59:08Z,66,PT2M50S,https://www.youtube.com/watch?v=sPS9DtX3j00,"Prostate cancer deaths are down in SC, but disparities remain",
News 19 WLTX,2023-12-07T23:01:50Z,61,PT37S,https://www.youtube.com/watch?v=L1qZWJIjceU,Hanukkah gets underway,
News 19 WLTX,2023-12-07T22:37:14Z,51,PT27S,https://www.youtube.com/watch?v=L56lLGDcq8M,Saluda County Sheriff's Office holding space heater drive,
